"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
4.259265363E1,6.356151030E1,2.704502958E1,9.303312813E1,6.299999952E-1,2.676000061E2,3.790092468E0,2.500000000E0
4.358917222E1,6.356150917E1,2.704501664E1,9.264158614E1,6.399999857E-1,2.637000122E2,3.790092468E0,2.500000000E0
4.458863613E1,6.356151031E1,2.704500339E1,9.257487410E1,6.499999762E-1,2.802999878E2,3.790092468E0,2.500000000E0
4.559322040E1,6.356151152E1,2.704498510E1,9.225944343E1,7.400000095E-1,2.802000122E2,3.790092468E0,2.500000000E0
4.659088628E1,6.356151302E1,2.704496479E1,9.215702540E1,8.199999928E-1,2.770000000E2,3.790092468E0,2.500000000E0
4.758921529E1,6.356151522E1,2.704494547E1,9.216831621E1,7.900000215E-1,2.876000061E2,3.790092468E0,2.500000000E0
4.859145290E1,6.356151892E1,2.704492624E1,9.233951972E1,8.500000238E-1,2.923999939E2,3.790092468E0,2.500000000E0
4.958971779E1,6.356151961E1,2.704491052E1,9.201951141E1,4.499999881E-1,2.807999878E2,3.790092468E0,2.500000000E0
5.058915665E1,6.356151812E1,2.704489711E1,9.158048390E1,4.300000072E-1,2.681000061E2,3.790092468E0,2.500000000E0
5.159185769E1,6.356151620E1,2.704488480E1,9.109769410E1,3.700000048E-1,2.672999878E2,3.790092468E0,2.500000000E0
5.259034784E1,6.356151377E1,2.704487149E1,9.108743820E1,3.799999952E-1,2.503999939E2,3.790092468E0,2.500000000E0
5.358876732E1,6.356151108E1,2.704485974E1,9.086447481E1,4.300000072E-1,2.376000061E2,3.790092468E0,2.500000000E0
5.459052706E1,6.356150784E1,2.704484664E1,9.074447741E1,4.900000095E-1,2.363000031E2,3.790092468E0,2.500000000E0
5.559031243E1,6.356150439E1,2.704483468E1,9.051803471E1,5.500000119E-1,2.226999969E2,3.790092468E0,2.500000000E0
5.658883534E1,6.356149979E1,2.704482422E1,8.971072011E1,5.699999928E-1,2.136999969E2,3.790092468E0,2.500000000E0
5.759160946E1,6.356149506E1,2.704481341E1,8.980031704E1,6.100000143E-1,2.176999969E2,3.790092468E0,2.500000000E0
5.859040472E1,6.356149102E1,2.704480296E1,8.953029513E1,5.199999809E-1,2.176000061E2,3.790092468E0,2.500000000E0
5.959071706E1,6.356148446E1,2.704479492E1,8.926283593E1,6.999999881E-1,1.971000061E2,3.790092468E0,2.500000000E0
6.059128878E1,6.356147752E1,2.704478787E1,8.928828437E1,6.899999976E-1,1.930000000E2,3.790092468E0,2.500000000E0
6.158944435E1,6.356147062E1,2.704478155E1,8.913319089E1,6.700000167E-1,1.941000061E2,3.790092468E0,2.500000000E0
6.258869612E1,6.356146494E1,2.704477112E1,8.937372743E1,5.699999928E-1,2.233000031E2,3.790092468E0,2.500000000E0
6.358866461E1,6.356146172E1,2.704475434E1,8.954553883E1,6.700000167E-1,2.456999969E2,3.790092468E0,2.500000000E0
6.458874117E1,6.356145861E1,2.704473421E1,8.970892715E1,8.399999738E-1,2.475000000E2,3.790092468E0,2.509325027E0
6.558868841E1,6.356145440E1,2.704471277E1,9.039807179E1,9.300000072E-1,2.488000031E2,3.790092468E0,2.540824413E0
6.658870789E1,6.356145179E1,2.704469378E1,9.081805219E1,8.199999928E-1,2.423000031E2,3.790092468E0,2.520643950E0
6.759234617E1,6.356144584E1,2.704467880E1,9.064959169E1,8.000000119E-1,2.221000061E2,3.790092468E0,2.500000000E0
6.859048956E1,6.356143807E1,2.704466765E1,9.083623333E1,8.700000048E-1,2.118999939E2,3.790092468E0,2.500000000E0
6.958874336E1,6.356142891E1,2.704465323E1,9.070237858E1,8.999999762E-1,2.163999939E2,3.790092468E0,2.500000000E0
7.059132789E1,6.356142179E1,2.704463823E1,9.100553628E1,7.699999809E-1,2.200000000E2,3.790092468E0,2.612130165E0
7.159107700E1,6.356141471E1,2.704462251E1,9.167466074E1,8.399999738E-1,2.123000031E2,3.790092468E0,2.599322557E0
7.259158575E1,6.356140754E1,2.704460870E1,9.178537466E1,8.700000048E-1,2.143999939E2,3.790092468E0,2.564532995E0
7.359042659E1,6.356140075E1,2.704459374E1,9.181198220E1,8.799999952E-1,2.173000031E2,3.790092468E0,2.500000000E0
7.459052846E1,6.356139259E1,2.704458044E1,9.165450732E1,9.700000286E-1,2.120000000E2,3.790092468E0,2.500000000E0
7.559063018E1,6.356138388E1,2.704456985E1,9.189296749E1,9.300000072E-1,2.068999939E2,3.790092468E0,2.500000000E0
7.659102862E1,6.356137519E1,2.704455974E1,9.219148631E1,9.900000095E-1,2.116000061E2,3.790092468E0,2.500000000E0
7.758994882E1,6.356136688E1,2.704454701E1,9.287391619E1,1.000000000E0,2.178999939E2,3.790092468E0,2.500000000E0
7.858976440E1,6.356135878E1,2.704453341E1,9.299415127E1,9.599999785E-1,2.186999969E2,3.790092468E0,2.500000000E0
7.959082195E1,6.356135033E1,2.704452337E1,9.239191334E1,1.019999981E0,2.108000031E2,3.790092468E0,2.500000000E0
8.059033273E1,6.356134115E1,2.704451593E1,9.265704595E1,9.900000095E-1,2.056000061E2,3.790092468E0,2.500000000E0
8.158889726E1,6.356133269E1,2.704450918E1,9.258801141E1,9.800000191E-1,2.068000031E2,3.790092468E0,2.500000000E0
8.259046950E1,6.356132481E1,2.704449833E1,9.262414034E1,1.000000000E0,2.156000061E2,3.790092468E0,2.500000000E0
8.359083679E1,6.356131718E1,2.704448378E1,9.247417288E1,9.800000191E-1,2.203000031E2,3.790092468E0,2.500000000E0
8.458884924E1,6.356131002E1,2.704446780E1,9.305266008E1,1.019999981E0,2.193000031E2,3.790092468E0,2.500000000E0
8.558978278E1,6.356130186E1,2.704445279E1,9.311332471E1,1.019999981E0,2.155000000E2,3.790092468E0,2.500000000E0
8.658998064E1,6.356129067E1,2.704444836E1,9.239530249E1,9.700000286E-1,2.028000031E2,3.790092468E0,2.500000000E0
8.758987721E1,6.356127935E1,2.704444277E1,9.229983872E1,1.059999943E0,2.053999939E2,3.790092468E0,2.500000000E0
8.859032236E1,6.356127025E1,2.704443255E1,9.322524946E1,1.019999981E0,2.115000000E2,3.790092468E0,2.500000000E0
8.959396194E1,6.356126201E1,2.704441803E1,9.296828714E1,1.009999990E0,2.136999969E2,3.790092468E0,2.500000000E0
9.058897007E1,6.356125508E1,2.704440697E1,9.318135734E1,9.200000167E-1,2.095000000E2,3.790092468E0,2.500000000E0
9.159149497E1,6.356124749E1,2.704439993E1,9.365266735E1,9.700000286E-1,2.051000061E2,3.790092468E0,2.500000000E0
9.258957580E1,6.356123888E1,2.704438876E1,9.376423543E1,1.019999981E0,2.053999939E2,3.790092468E0,2.500000000E0
9.359066991E1,6.356123024E1,2.704437672E1,9.422266622E1,1.039999962E0,2.086000061E2,3.790092468E0,2.500000000E0
9.458926731E1,6.356122221E1,2.704436494E1,9.453961777E1,9.900000095E-1,2.096999969E2,3.790092468E0,2.500000000E0
9.559150236E1,6.356121364E1,2.704435224E1,9.469543623E1,1.019999981E0,2.096000061E2,3.790092468E0,2.500000000E0
9.659000902E1,6.356120454E1,2.704434018E1,9.457024868E1,1.009999990E0,2.083000031E2,3.790092468E0,2.500000000E0
9.759124679E1,6.356119612E1,2.704432611E1,9.431353047E1,1.019999981E0,2.081000061E2,3.790092468E0,2.500000000E0
9.859670059E1,6.356118838E1,2.704431084E1,9.448686614E1,1.029999971E0,2.103999939E2,3.790092468E0,2.500000000E0
9.959074928E1,6.356118003E1,2.704429703E1,9.349766506E1,1.000000000E0,2.153000031E2,3.790092468E0,2.500000000E0
1.005909711E2,6.356117313E1,2.704428459E1,9.331406768E1,9.900000095E-1,2.183000031E2,3.790092468E0,2.500000000E0
1.015919774E2,6.356116549E1,2.704427325E1,9.353049452E1,1.009999990E0,2.123999939E2,3.790092468E0,2.500000000E0
1.025956755E2,6.356115626E1,2.704426430E1,9.351047074E1,1.009999990E0,2.078999939E2,3.790092468E0,2.500000000E0
1.035908310E2,6.356114666E1,2.704425599E1,9.339358407E1,1.019999981E0,2.061000061E2,3.790092468E0,2.500000000E0
1.045910428E2,6.356113763E1,2.704424206E1,9.339327433E1,1.029999971E0,2.116999969E2,3.790092468E0,2.500000000E0
1.055898191E2,6.356112813E1,2.704422815E1,9.338332086E1,1.000000000E0,2.143000031E2,3.790092468E0,2.500000000E0
1.065907679E2,6.356111967E1,2.704421535E1,9.401399287E1,9.800000191E-1,2.133000031E2,3.790092468E0,2.500000000E0
1.075910327E2,6.356110961E1,2.704420647E1,9.346363430E1,1.039999962E0,2.053000031E2,3.790092468E0,2.500000000E0
1.085900055E2,6.356109979E1,2.704419901E1,9.364954303E1,1.019999981E0,2.021999969E2,3.790092468E0,2.500000000E0
1.095905145E2,6.356108979E1,2.704418655E1,9.328759974E1,1.049999952E0,2.063000031E2,3.790092468E0,2.500000000E0
1.105918445E2,6.356108001E1,2.704417258E1,9.335326871E1,1.049999952E0,2.096000061E2,3.790092468E0,2.500000000E0
1.115904228E2,6.356107066E1,2.704416048E1,9.320952637E1,1.019999981E0,2.071999969E2,3.790092468E0,2.500000000E0
1.125903633E2,6.356106116E1,2.704414848E1,9.315196562E1,1.019999981E0,2.086000061E2,3.790092468E0,2.500000000E0
1.135932886E2,6.356105083E1,2.704413429E1,9.376743905E1,1.039999962E0,2.093999939E2,3.790092468E0,2.500000000E0
1.145892358E2,6.356103940E1,2.704412358E1,9.373185033E1,1.049999952E0,2.055000000E2,3.790092468E0,2.500000000E0
1.155916152E2,6.356102844E1,2.704411027E1,9.392135923E1,1.070000052E0,2.086999969E2,3.790092468E0,2.500000000E0
1.165913859E2,6.356101811E1,2.704409613E1,9.356478677E1,1.039999962E0,2.100000000E2,3.790092468E0,2.500000000E0
1.175903983E2,6.356100812E1,2.704408242E1,9.398006505E1,1.070000052E0,2.115000000E2,3.790092468E0,2.500000000E0
1.185918688E2,6.356100117E1,2.704407050E1,9.342812053E1,8.600000143E-1,2.141000061E2,3.790092468E0,2.500000000E0
1.195910946E2,6.356099373E1,2.704405270E1,9.374812359E1,1.039999962E0,2.198000031E2,3.790092468E0,2.500000000E0
1.205897202E2,6.356098707E1,2.704403386E1,9.328516788E1,9.200000167E-1,2.228000031E2,3.790092468E0,2.500000000E0
1.215917027E2,6.356097826E1,2.704401639E1,9.268933792E1,1.110000014E0,2.186000061E2,3.790092468E0,2.500000000E0
1.225902484E2,6.356096944E1,2.704400162E1,9.258502429E1,1.100000024E0,2.181000061E2,3.790092468E0,2.500000000E0
1.235903769E2,6.356096331E1,2.704398429E1,9.251495221E1,1.169999957E0,2.233000031E2,3.790092468E0,2.500000000E0
1.245888882E2,6.356095679E1,2.704396462E1,9.261504580E1,1.250000000E0,2.283999939E2,3.790092468E0,2.500000000E0
1.255895746E2,6.356095157E1,2.704394424E1,9.227971504E1,1.159999967E0,2.358999939E2,3.790092468E0,2.500000000E0
1.265898745E2,6.356094803E1,2.704392393E1,9.227470719E1,1.080000043E0,2.475000000E2,3.790092468E0,2.500000000E0
1.275903558E2,6.356094513E1,2.704390126E1,9.235820037E1,1.139999986E0,2.516999969E2,3.790092468E0,2.500000000E0
1.285907539E2,6.356094273E1,2.704387862E1,9.289439150E1,1.159999967E0,2.562999878E2,3.790092468E0,2.500000000E0
1.295906784E2,6.356093929E1,2.704385597E1,9.269657345E1,1.230000019E0,2.518999939E2,3.790092468E0,2.500000000E0
1.305916952E2,6.356093506E1,2.704383236E1,9.251956800E1,1.269999981E0,2.485000000E2,3.790092468E0,2.500000000E0
1.315923678E2,6.356093051E1,2.704381221E1,9.282382491E1,1.139999986E0,2.490000000E2,3.790092468E0,2.500000000E0
1.325910611E2,6.356092656E1,2.704378973E1,9.278036458E1,1.149999976E0,2.526000061E2,3.790092468E0,2.500000000E0
1.335919347E2,6.356092315E1,2.704376806E1,9.267574730E1,1.139999986E0,2.536000061E2,3.790092468E0,2.500000000E0
1.345932146E2,6.356092039E1,2.704374541E1,9.294411603E1,1.129999995E0,2.592999878E2,3.790092468E0,2.500000000E0
1.355903787E2,6.356091793E1,2.704372188E1,9.360408636E1,1.190000057E0,2.583999939E2,3.790092468E0,2.500000000E0
1.365935525E2,6.356091341E1,2.704369985E1,9.342610437E1,1.129999995E0,2.508000031E2,3.790092468E0,2.500000000E0
