"Time (s)","Latitude (°)","Longitude (°)","Height (m)","Velocity (m/s)","Direction (°)","Horizontal Accuracy (m)","Vertical Accuracy (m)"
2.045901483E2,6.356069273E1,2.704186916E1,9.581033510E1,1.629999995E0,2.536000061E2,3.790092468E0,2.500000000E0
2.055895183E2,6.356068851E1,2.704183842E1,9.578671044E1,1.529999971E0,2.540000000E2,3.790092468E0,2.500000000E0
2.065903511E2,6.356068440E1,2.704180878E1,9.583474119E1,1.539999962E0,2.538999939E2,3.790092468E0,2.500000000E0
2.075912040E2,6.356068140E1,2.704178246E1,9.584151285E1,1.370000005E0,2.565000000E2,3.790092468E0,2.500000000E0
2.085946237E2,6.356067727E1,2.704175585E1,9.555464393E1,1.330000043E0,2.521000061E2,3.790092468E0,2.500000000E0
2.095903621E2,6.356067165E1,2.704172880E1,9.549519139E1,1.470000029E0,2.496999969E2,3.790092468E0,2.500000000E0
2.105904206E2,6.356066593E1,2.704170354E1,9.570600262E1,1.429999948E0,2.510000000E2,3.790092468E0,2.500000000E0
2.115902182E2,6.356066315E1,2.704169426E1,9.522235824E1,4.799999893E-1,2.516000061E2,3.790092468E0,2.500000000E0
2.125895485E2,6.356066211E1,2.704169869E1,9.523023173E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.135899549E2,6.356066187E1,2.704170049E1,9.544422104E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.145891205E2,6.356066073E1,2.704170085E1,9.578913030E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
2.155899145E2,6.356066077E1,2.704170317E1,9.542401820E1,1.700000018E-1,4.809999847E1,3.790092468E0,2.500000000E0
2.165896964E2,6.356066119E1,2.704170248E1,9.552539770E1,0.000000000E0,NaN,3.790092468E0,2.500000000E0
