"Time (s)","Linear Acceleration x (m/s^2)","Linear Acceleration y (m/s^2)","Linear Acceleration z (m/s^2)"
4.277368270E-1,-5.397820473E-2,1.570940018E-2,-3.873825073E-3
4.327943790E-1,-7.204747200E-2,1.416301727E-2,2.123165131E-2
4.378716180E-1,-9.940063953E-2,4.574775696E-2,5.307722092E-2
4.429489100E-1,-1.408734322E-1,4.149484634E-2,1.222448349E-1
4.480262020E-1,-1.232033968E-1,2.776098251E-2,1.763052940E-1
4.530863580E-1,-9.428858757E-2,4.478979111E-2,1.895651817E-1
4.581627640E-1,-8.027803898E-2,-1.652574539E-2,1.908426285E-1
4.632391700E-1,-5.018103123E-2,-1.560258865E-2,1.897187233E-1
4.683155770E-1,6.170272827E-4,-2.432918549E-2,1.769084930E-1
4.734151600E-1,-2.268683910E-2,-2.119016647E-2,1.477451324E-1
4.784927640E-1,8.760094643E-3,-3.230571747E-2,1.805143356E-1
4.835703160E-1,4.162459373E-1,-8.361673355E-2,4.307923317E-1
4.886478680E-1,3.149148226E-1,-1.584968567E-1,5.390300751E-1
4.937189620E-1,-7.990670204E-1,1.081466675E-3,-2.980546951E-1
4.987962020E-1,-4.972192049E-1,3.442730904E-1,-1.106410027E-1
5.038734930E-1,2.486969233E-1,1.656618118E-1,4.528980255E-1
5.089507330E-1,-1.717519760E-1,1.238870621E-2,4.651308060E-2
5.140318270E-1,-4.810237885E-2,-2.067089081E-2,1.181893349E-1
5.191092750E-1,-1.133322716E-2,6.055831909E-3,2.788982391E-1
5.241867230E-1,-2.003276348E-2,1.810932159E-2,2.390036583E-1
5.292641700E-1,-7.362723351E-3,6.001472473E-3,2.401571274E-1
5.343344830E-1,-4.476177692E-2,3.204822540E-3,2.297158241E-1
5.394115660E-1,-6.057047844E-2,3.328752518E-2,2.102127075E-1
5.444886500E-1,-5.985772610E-2,4.846334457E-2,2.101960182E-1
5.495657330E-1,-6.171178818E-2,4.894161224E-2,1.559262276E-1
5.546429200E-1,-2.836656570E-2,4.431676865E-2,1.166911125E-1
5.597200040E-1,-1.680958271E-2,5.132102966E-2,9.944295883E-2
5.647970870E-1,-2.893292904E-2,7.485771179E-2,3.499078751E-2
5.698741700E-1,-5.320787430E-3,2.918767929E-2,-1.913928986E-2
5.749527640E-1,5.607402325E-2,2.426338196E-2,-6.083774567E-2
5.800299520E-1,1.195479631E-1,2.196979523E-2,-1.330990791E-1
5.851070870E-1,1.520806551E-1,-8.630752563E-3,-2.023110390E-1
5.901842750E-1,1.801050901E-1,-2.697372437E-2,-2.447452545E-1
5.952596390E-1,1.585799456E-1,-5.918788910E-2,-2.488813400E-1
6.003367230E-1,1.426343918E-1,-3.868532181E-2,-2.933855057E-1
6.054138060E-1,1.109292507E-1,-4.190635681E-2,-3.185286522E-1
6.104908370E-1,9.661114216E-2,-4.471492767E-2,-3.009872437E-1
6.155681290E-1,6.857073307E-2,-1.393651962E-2,-2.814698219E-1
6.206452120E-1,-2.088522911E-2,-4.535675049E-3,-2.386450768E-1
6.257222950E-1,-5.512392521E-2,-1.391649246E-2,-1.633057594E-1
6.307993790E-1,-4.172599316E-2,-6.311416626E-3,-1.008195877E-1
6.358814100E-1,-5.223655701E-2,-1.517248154E-2,-7.235336304E-2
6.409587540E-1,-1.626621485E-1,-9.264802933E-2,-5.624866486E-2
6.460360980E-1,-1.255606413E-1,-1.293034554E-1,7.849740982E-2
6.511133890E-1,2.225531340E-1,1.121482849E-1,7.685661316E-2
6.561889620E-1,6.246924400E-2,-7.068157196E-3,1.836490631E-2
6.612662020E-1,2.702093124E-2,-1.017041206E-1,1.510095596E-2
6.663433890E-1,-2.961587906E-2,-1.016759872E-2,4.975938797E-2
6.714206810E-1,-5.671322346E-2,1.874589920E-2,1.199960709E-1
6.764947950E-1,-3.126478195E-2,3.048324585E-2,5.454874039E-2
6.815718790E-1,-1.327836514E-2,3.488397598E-2,3.248119354E-2
6.866489620E-1,-6.909501553E-2,4.619216919E-2,3.927326202E-2
6.917260450E-1,-6.745743752E-2,4.301261902E-2,2.713203430E-2
6.968005250E-1,-6.335961819E-2,2.792167664E-2,-1.095676422E-2
